prompt,target_token,loss,perplexity,primary_layer,layer_category
"A missile launch by North Korea caused confusion in northern Japan, where an evacuation order was",issued and then retracted,0.8603515625,2.363991638443122,Unknown,Unmapped
Quinten has a severe allergy to,"dairy, egg, soya and nuts",3.69140625,40.1011996370117,Unknown,Unmapped
The UK's first evacuation flight carrying British nationals from Sudan has landed in,Cyprus,2.90234375,18.216790978454146,31,Validated (Trained)
The M23 rebels are,withdrawing from several captured villages,3.8515625,47.06654728734682,Unknown,Unmapped
The weather warning is in place until,10:00 GMT on Thursday,0.6240234375,1.866422389048592,Unknown,Unmapped
The rate of price rises at UK supermarkets,hit a new high,3.505859375,33.31005738633129,1,Validated (Trained)
Canadian film-maker Sarah Polley won the,Best Adapted Screenplay award,2.779296875,16.107691244988956,Unknown,Unmapped
The 24-year-old gunman who killed 23 people at a Walmart in 2019 has been sentenced to,90 consecutive life sentences in federal prison,2.16796875,8.740511832292928,Unknown,Unmapped
The investigation into the prime minister by the parliamentary commissioner for standards is,a rather minor tremor,2.90625,18.28808948244362,Unknown,Unmapped
The man who set fire to the flat where three people died was found guilty of,murder,1.341796875,3.825912018246517,Unknown,Unmapped
The Florida Supreme Court has,upheld the state's right to prohibit abortion,2.6875,14.69489272878894,Unknown,Unmapped
Germany's labour market,has a shortage of,1.6923828125,5.432409709077657,6,Validated (Trained)
The environmental group Just Stop Oil has,said,3.1796875,24.039240115615065,Unknown,Unmapped
"Daniel Allen, whose address is given as Molly Road, Enniskillen, is charged with",murder,3.373046875,29.167260806600492,Unknown,Unmapped
The Scout Association has,apologised,2.640625,14.021964597512564,Unknown,Unmapped
